Redundancy time-to-send-the-first-packet time-to-recv-the-first-packet time-to-send-all-the-packets time-to-decode time-to-recv-the-last-ack
0 0 .00100000000000000000 29.55400000000000000000 10.38300000000000000000 5.04100000000000000000
2 0 .00100000000000000000 32.14900000000000000000 9.95200000000000000000 5.04200000000000000000
4 0 0 32.69600000000000000000 10.17000000000000000000 5.04000000000000000000
6 0 .00100000000000000000 33.26100000000000000000 10.44300000000000000000 5.04000000000000000000
8 0 .00100000000000000000 34.07900000000000000000 10.70700000000000000000 5.04000000000000000000
10 0 .00100000000000000000 34.62400000000000000000 10.84000000000000000000 5.04000000000000000000
12 0 .00100000000000000000 35.34100000000000000000 10.59200000000000000000 5.04000000000000000000
14 0 0 36.59100000000000000000 10.84000000000000000000 5.03900000000000000000
16 0 .00100000000000000000 37.22300000000000000000 10.95300000000000000000 5.04200000000000000000
18 0 .00100000000000000000 37.86100000000000000000 11.14900000000000000000 5.04100000000000000000
20 0 0 38.53700000000000000000 11.00100000000000000000 5.04100000000000000000
22 0 0 39.07600000000000000000 11.34600000000000000000 5.04100000000000000000
24 0 .00100000000000000000 39.80300000000000000000 11.67500000000000000000 5.04000000000000000000
